identifiant;libelle_du_site;caracteristique_du_site;adresse;complement_d_adresse;lieu_dit;code_postal;localite;pays;latitude;longitude;precision_du_geocodage;numero_de_telephone;identifiant_du_site;site_acores_de_rattachement;code_insee;latlong;dep
LIMOURS;Bureau de Poste;13 AVENUE DE CHAMBORD;;;91470;LIMOURS;FRANCE;48.646014;2.072712;Géocodé au numéro;3631;16959A;;91338;48.646014, 2.072712;91
COURDIMANCHE RP;Relais poste commerçant;16 RUE RAYMOND BERRIVIN;BAR LA RENAISSANCE;;95800;COURDIMANCHE;FRANCE;;;Géocodé au centre de la commune;3631;50152A;17542A;95183;;95
BONNELLES AP;Agence postale communale;22 RUE DE LA LIBERATION;;;78830;BONNELLES;FRANCE;48.618183;2.028045;Géocodé au numéro;3631;10406D;15006A;78087;48.618183, 2.028045;78
LA GARENNE COLOMBES VALLEES BP;Bureau de Poste;4 PLACE DE LA GARE DES VALLEES;;;92250;LA GARENNE COLOMBES;FRANCE;48.913297;2.257549;Géocodé au numéro;3631;17113A;;92035;48.913297, 2.257549;92
SARCELLES SABLONS BP;Bureau de Poste;14 ALLEE RAOUL DUFY;;;95200;SARCELLES;FRANCE;48.972765;2.377948;Géocodé au milieu d un îlot;3631;17436A;;95585;48.972765, 2.377948;95
MONTIGNY VILLAGE BP;Bureau de Poste;RUE DE LA POSTE;;;95370;MONTIGNY LES CORMEILLES;FRANCE;48.986043;2.188641;Géocodé au numéro;3631;17560A;;95424;48.986043, 2.188641;95
BOISSY L AILLERIE BP;Bureau de Poste;17 RUE VEUVE QUATREMAIN;;;95650;BOISSY L AILLERIE;FRANCE;49.077696;2.02643;Géocodé au numéro;3631;17427A;;95078;49.077696, 2.02643;95
LE BOURGET;Bureau de Poste;96 AVENUE DE LA DIVISION LECLERC;;;93350;LE BOURGET;FRANCE;48.937409;2.428595;Géocodé au numéro;3631;17186A;;93013;48.937409, 2.428595;93
LEVALLOIS PERRET EIFFEL BP;Bureau de Poste;22BIS RUE D ALSACE;;;92300;LEVALLOIS PERRET;FRANCE;48.891;2.2952;Géocodé au numéro;3631;17137A;;92044;48.891, 2.2952;92
HERBLAY;Bureau de Poste;2 BOULEVARD DU 11 NOVEMBRE;;;95220;HERBLAY;FRANCE;48.98992;2.164367;Géocodé au numéro;3631;17463A;;95306;48.98992, 2.164367;95
MONTLIGNON BP;Bureau de Poste;12 RUE DE PARIS;;;95680;MONTLIGNON;FRANCE;49.008957;2.284791;Géocodé au numéro;3631;17477A;;95426;49.008957, 2.284791;95
LE VESINET RELAIS POSTE URBAIN RP;Relais poste commerçant;139 BOULEVARD CARNOT;RELAIS POSTE PRESSING DU ROND POINT;;78110;LE VESINET;FRANCE;;;;3631;12316D;15030A;78650;;78
VERDELOT AP;Agence postale communale;PLACE ALBERT BOYER;;;77510;VERDELOT;FRANCE;48.875595;3.366245;Géocodé au numéro;3631;14844A;14692A;77492;48.875595, 3.366245;77
LE BLANC MESNIL JEAN JAURES BP;Bureau de Poste;AVENUE JEAN JAURES;;;93150;LE BLANC MESNIL;FRANCE;48.923943;2.470611;Géocodé au numéro;3631;17256A;;93007;48.923943, 2.470611;93
NOISY LE SEC STEPHENSON BP;Bureau de Poste;157 RUE DE BREMENT;;;93130;NOISY LE SEC;FRANCE;48.887993;2.463078;Géocodé au numéro;3631;17275A;;93053;48.887993, 2.463078;93
BUSSY ST GEORGES;Bureau de Poste;10 PLACE FULGENCE BIENVENUE;;;77600;BUSSY ST GEORGES;FRANCE;48.839296;2.709418;Géocodé au numéro;3631;14871A;;77058;48.839296, 2.709418;77
LA QUEUE EN BRIE BP;Bureau de Poste;15 RUE EDGAR DEGAS;;;94510;LA QUEUE EN BRIE;FRANCE;48.790596;2.574099;Géocodé au numéro;3631;17327A;;94060;48.790596, 2.574099;94
GREZ SUR LOING BP;Bureau de Poste;47 RUE VICTOR HUGO;;;77880;GREZ SUR LOING;FRANCE;48.317467;2.691348;Géocodé au numéro;3631;14730A;;77216;48.317467, 2.691348;77
MEAUX PRINCIPAL;Bureau de Poste;5 QUAI JACQUES PREVERT;;;77100;MEAUX;FRANCE;48.957199;2.88234;Géocodé au numéro;3631;14761A;;77284;48.957199, 2.88234;77
THIAIS BP;Bureau de Poste;72 AVENUE RENE PANHARD;;;94320;THIAIS;FRANCE;48.763999;2.393709;Géocodé au numéro;3631;17334A;;94073;48.763999, 2.393709;94
LUZANCY BP;Bureau de Poste;2 RUE DES JARDINETS;;;77138;LUZANCY;FRANCE;48.972595;3.187879;Géocodé au numéro;3631;14755A;;77265;48.972595, 3.187879;77
VAUJOURS BP;Bureau de Poste;69 RUE DE MEAUX;;;93410;VAUJOURS;FRANCE;48.9348;2.5667;Géocodé au numéro;3631;17218A;;93074;48.9348, 2.5667;93
VITRY PORT A L ANGLAIS BP;Bureau de Poste;33 AV PAUL VAILLANT COUTURIER;;;94400;VITRY SUR SEINE;FRANCE;48.799093;2.400727;Géocodé au numéro;3631;17362A;;94081;48.799093, 2.400727;94
ALFORTVILLE SAINT PIERRE BP;Bureau de Poste;106 RUE ETIENNE DOLET;;;94140;ALFORTVILLE;FRANCE;48.790494;2.425868;Géocodé au numéro;3631;17400A;;94002;48.790494, 2.425868;94
MONTCOURT FROMONVILLE RP;Relais poste commerçant;RUE DU PARC;;;77140;MONTCOURT FROMONVILLE;FRANCE;48.301092;2.700886;Géocodé au milieu de la rue;3631;14770A;14786A;77302;48.301092, 2.700886;77
CROISSY BEAUBOURG AP;Agence postale communale;9 PLACE PIERRE DE CLERY;;;77183;CROISSY BEAUBOURG;FRANCE;48.827192;2.64919;Géocodé au numéro;3631;14698A;14831A;77146;48.827192, 2.64919;77
LA CROIX EN BRIE AP;Agence postale communale;31 RUE DES TEMPLIERS;;;77370;LA CROIX EN BRIE;FRANCE;48.592915;3.074471;Géocodé au numéro;3631;14699A;14784A;77147;48.592915, 3.074471;77
BAILLY ROMAINVILLIERS BP;Bureau de Poste;70 RUE DE MAGNY;;;77700;BAILLY ROMAINVILLIERS;FRANCE;48.850242;2.819095;Géocodé au numéro;3631;14738A;;77018;48.850242, 2.819095;77
MONTEREAU FAULT YONNE BP;Bureau de Poste;RUE ANDRE THOMAS;;;77130;MONTEREAU FAULT YONNE;FRANCE;48.39602;2.955222;Géocodé au numéro;3631;14881A;;77305;48.39602, 2.955222;77
